master_id,expansion,cn,card_type,sub_type,name,rarity,hp,ability,move1,move2,regulation,image,official_id,is_mirror,origin
s12_042_098,S12,042/098,ポケモン,超,ランクルス,R,120,くちないさいぼう,セルフォーク,,F,image/s12_042_098.jpg,42134,False,
s12_043_098,S12,043/098,ポケモン,超,リグレー,C,60,,ずつき,,F,image/s12_043_098.jpg,42135,False,
s12_044_098,S12,044/098,ポケモン,超,オーベム,U,90,,ねんどうだん,サイコアロー,F,image/s12_044_098.jpg,42136,False,
s12_045_098,S12,045/098,ポケモン,超,デデンネ,C,60,,しっぽでたたく,デデショート,F,image/s12_045_098.jpg,42137,False,
s12_046_098,S12,046/098,ポケモン,闘,ヒスイウインディV,RR,230,ししふんじん,ロックバレット,,F,image/s12_046_098.jpg,42138,False,
s12_047_098,S12,047/098,ポケモン,闘,ヤジロン,C,50,,ともだちをさがす,ビンタ,F,image/s12_047_098.jpg,42139,False,
s12_048_098,S12,048/098,ポケモン,闘,ネンドール,U,110,ミステリーチャージ,かいてんアタック,,F,image/s12_048_098.jpg,42140,False,
s12_049_098,S12,049/098,ポケモン,闘,アノプス,C,90,,かせきおとし,,F,image/s12_049_098.jpg,42141,False,
s12_050_098,S12,050/098,ポケモン,闘,アーマルド,U,150,,かりとるかぎづめ,ロックスマッシュ,F,image/s12_050_098.jpg,42142,False,
s12_051_098,S12,051/098,ポケモン,闘,テラキオン,R,130,,がんくつタックル,,F,image/s12_051_098.jpg,42143,False,
s12_052_098,S12,052/098,ポケモン,闘,ヤンチャム,C,70,,チョップ,,F,image/s12_052_098.jpg,42144,False,
s12_053_098,S12,053/098,ポケモン,闘,イワンコ,C,60,,さそいだす,けとばす,F,image/s12_053_098.jpg,42145,False,
s12_054_098,S12,054/098,ポケモン,闘,ルガルガン,U,120,,ミッドナイトファング,,F,image/s12_054_098.jpg,42146,False,
s12_055_098,S12,055/098,ポケモン,闘,イシヘンジン,U,130,,いわおとし,ミステリープレス,F,image/s12_055_098.jpg,42147,False,
s12_056_098,S12,056/098,ポケモン,悪,スカタンクV,RR,210,,おいうちボム,ぜっきょうポイズン,F,image/s12_056_098.jpg,42148,False,
s12_057_098,S12,057/098,ポケモン,悪,チョロネコ,C,60,,みだれひっかき,,F,image/s12_057_098.jpg,42149,False,
s12_058_098,S12,058/098,ポケモン,悪,レパルダス,U,100,,みだれひっかき,ツメできりさく,F,image/s12_058_098.jpg,42150,False,
s12_059_098,S12,059/098,ポケモン,悪,ゴロンダ,U,140,,どつく,ワイルドタックル,F,image/s12_059_098.jpg,42151,False,
s12_060_098,S12,060/098,ポケモン,悪,クズモー,C,60,,たいあたり,とかす,F,image/s12_060_098.jpg,42152,False,
s12_061_098,S12,061/098,ポケモン,悪,ドラミドロ,U,120,,ロケットポイズン,ひれカッター,F,image/s12_061_098.jpg,42153,False,
s12_062_098,S12,062/098,ポケモン,悪,モルペコ,C,60,,ペコボンバー,,F,image/s12_062_098.jpg,42154,False,
s12_063_098,S12,063/098,ポケモン,鋼,ガラルニャース,C,70,,ツメをだす,,F,image/s12_063_098.jpg,42155,False,
s12_064_098,S12,064/098,ポケモン,鋼,ガラルニャイキング,U,120,,するどいツメ,きりさく,F,image/s12_064_098.jpg,42156,False,
s12_065_098,S12,065/098,ポケモン,鋼,ココドラ,C,70,,ぶつかる,ちょっとつっこむ,F,image/s12_065_098.jpg,42157,False,
s12_066_098,S12,066/098,ポケモン,鋼,コドラ,U,90,,がちんこ,あばれまくる,F,image/s12_066_098.jpg,42158,False,
s12_067_098,S12,067/098,ポケモン,鋼,ボスゴドラ,R,180,,カウンタープレス,ヘビーインパクト,F,image/s12_067_098.jpg,42159,False,
s12_068_098,S12,068/098,ポケモン,鋼,コバルオン,C,120,せいぎのおきて,フォローアップ,,F,image/s12_068_098.jpg,42160,False,
s12_069_098,S12,069/098,ポケモン,鋼,トゲデマル,C,80,,トゲダッシュ,,F,image/s12_069_098.jpg,42161,False,
s12_070_098,S12,070/098,ポケモン,竜,ミニリュウ,C,70,,たたきつける,,F,image/s12_070_098.jpg,42162,False,
s12_071_098,S12,071/098,ポケモン,竜,ハクリュー,U,100,,まきつく,なみのり,F,image/s12_071_098.jpg,42163,False,
s12_072_098,S12,072/098,ポケモン,竜,カイリュー,R,160,,ドラゴンクロー,エナジーハリケーン,F,image/s12_072_098.jpg,42164,False,
s12_073_098,S12,073/098,ポケモン,竜,オンバット,C,60,,はばたく,かっくう,F,image/s12_073_098.jpg,42165,False,
s12_074_098,S12,074/098,ポケモン,竜,オンバーン,U,110,,ラジエントハント,セブンスエコー,F,image/s12_074_098.jpg,42166,False,
s12_075_098,S12,075/098,ポケモン,竜,ジガルデ,C,90,,ちからのさけび,スピードアタック,F,image/s12_075_098.jpg,42167,False,
s12_076_098,S12,076/098,ポケモン,竜,レジドラゴV,RR,220,,てんのさけび,ドラゴンレーザー,F,image/s12_076_098.jpg,42168,False,
s12_077_098,S12,077/098,ポケモン,竜,レジドラゴVSTAR,RRR,280,レガシースター,りゅうむそう,,F,image/s12_077_098.jpg,42169,False,
s12_078_098,S12,078/098,ポケモン,無,ケンタロス,U,110,,けとばす,アドレナタックル,F,image/s12_078_098.jpg,42170,False,
s12_079_098,S12,079/098,ポケモン,無,ルギアV,RR,220,,かぜよみ,エアロダイブ,F,image/s12_079_098.jpg,42171,False,
s12_080_098,S12,080/098,ポケモン,無,ルギアVSTAR,RRR,280,アッセンブルスター,ストームダイブ,,F,image/s12_080_098.jpg,42172,False,
s12_081_098,S12,081/098,ポケモン,無,シェイミ,C,70,,はなひろい,うしろげり,F,image/s12_081_098.jpg,42173,False,
s12_082_098,S12,082/098,ポケモン,無,アーケン,C,80,,はばたく,ツメできりさく,F,image/s12_082_098.jpg,42174,False,
s12_083_098,S12,083/098,ポケモン,無,アーケオス,R,150,プライマルターボ,スピードウイング,,F,image/s12_083_098.jpg,42175,False,
s12_084_098,S12,084/098,ポケモン,無,ワシボン,C,70,,とびつく,,F,image/s12_084_098.jpg,42176,False,
s12_085_098,S12,085/098,ポケモン,無,ヒスイウォーグル,U,120,,ぶきみななきごえ,サイコトリップ,F,image/s12_085_098.jpg,42177,False,
s12_086_098,S12,086/098,ポケモン,無,ヤングース,C,70,,するどいキバ,,F,image/s12_086_098.jpg,42178,False,
s12_087_098,S12,087/098,ポケモン,無,デカグース,U,120,,はりこみヘッド,つきたおし,F,image/s12_087_098.jpg,42179,False,
s12_088_098,S12,088/098,ポケモン,無,ヤレユータン,C,110,,さるしばい,ぶちかます,F,image/s12_088_098.jpg,42180,False,
s12_089_098,S12,089/098,トレーナーズ,グッズ,クワッドストーン,U,,,,,F,image/s12_089_098.jpg,42181,False,
s12_090_098,S12,090/098,トレーナーズ,グッズ,なぞの化石,C,60,,,,F,image/s12_090_098.jpg,42182,False,
s12_091_098,S12,091/098,トレーナーズ,ポケモンのどうぐ,大地の封印石,R,,,,,F,image/s12_091_098.jpg,42183,False,
s12_092_098,S12,092/098,トレーナーズ,ポケモンのどうぐ,森の封印石,R,,スターアルケミー,,,F,image/s12_092_098.jpg,42184,False,
s12_093_098,S12,093/098,トレーナーズ,サポート,さぎょういん,U,,,,,F,image/s12_093_098.jpg,42185,False,
s12_094_098,S12,094/098,トレーナーズ,サポート,ジンダイ,U,,,,,F,image/s12_094_098.jpg,42186,False,
s12_095_098,S12,095/098,トレーナーズ,サポート,スズナ,U,,,,,F,image/s12_095_098.jpg,42187,False,
s12_096_098,S12,096/098,トレーナーズ,サポート,ワタル,U,,,,,F,image/s12_096_098.jpg,42188,False,
s12_097_098,S12,097/098,トレーナーズ,スタジアム,未開の祭壇,U,,,,,F,image/s12_097_098.jpg,42189,False,
s12_098_098,S12,098/098,エネルギー,無,リゲインエネルギー,U,,,,,F,image/s12_098_098.jpg,42190,False,
s12_099_098,S12,099/098,ポケモン,草,ブリガロンV,SR,230,ニードルライン,タッチダウン,,F,image/s12_099_098.jpg,,False,
s12_100_098,S12,100/098,ポケモン,水,オムスターV,SR,190,,げんしのみちびき,しょくしゅがため,F,image/s12_100_098.jpg,,False,
s12_101_098,S12,101/098,ポケモン,雷,レジエレキV,SR,200,,スイッチボルト,ライトニングウォール,F,image/s12_101_098.jpg,,False,
s12_102_098,S12,102/098,ポケモン,超,アンノーンV,SR,180,,あやしいこくいん,ビクトリーシンボル,F,image/s12_102_098.jpg,,False,
s12_103_098,S12,103/098,ポケモン,超,アンノーンV,SR,180,,あやしいこくいん,ビクトリーシンボル,F,image/s12_103_098.jpg,,False,
s12_104_098,S12,104/098,ポケモン,闘,ヒスイウインディV,SR,230,ししふんじん,ロックバレット,,F,image/s12_104_098.jpg,,False,
s12_105_098,S12,105/098,ポケモン,悪,スカタンクV,SR,210,,おいうちボム,ぜっきょうポイズン,F,image/s12_105_098.jpg,,False,
s12_106_098,S12,106/098,ポケモン,悪,スカタンクV,SR,210,,おいうちボム,ぜっきょうポイズン,F,image/s12_106_098.jpg,,False,
s12_107_098,S12,107/098,ポケモン,竜,レジドラゴV,SR,220,,てんのさけび,ドラゴンレーザー,F,image/s12_107_098.jpg,,False,
s12_108_098,S12,108/098,ポケモン,竜,レジドラゴV,SR,220,,てんのさけび,ドラゴンレーザー,F,image/s12_108_098.jpg,,False,
s12_109_098,S12,109/098,ポケモン,無,ルギアV,SR,220,,かぜよみ,エアロダイブ,F,image/s12_109_098.jpg,,False,
s12_110_098,S12,110/098,ポケモン,無,ルギアV,SR,220,,かぜよみ,エアロダイブ,F,image/s12_110_098.jpg,,False,
s12_111_098,S12,111/098,トレーナーズ,サポート,さぎょういん,SR,,,,,F,image/s12_111_098.jpg,,False,
s12_112_098,S12,112/098,トレーナーズ,サポート,ジンダイ,SR,,,,,F,image/s12_112_098.jpg,,False,
s12_113_098,S12,113/098,トレーナーズ,サポート,スズナ,SR,,,,,F,image/s12_113_098.jpg,,False,
s12_114_098,S12,114/098,トレーナーズ,サポート,ワタル,SR,,,,,F,image/s12_114_098.jpg,,False,
s12_115_098,S12,115/098,ポケモン,雷,レジエレキVMAX,HR,310,トランジスタ,ダイライデン,,F,image/s12_115_098.jpg,,False,
s12_116_098,S12,116/098,ポケモン,超,アンノーンVSTAR,HR,250,,トライパワー,,F,image/s12_116_098.jpg,,False,
s12_117_098,S12,117/098,ポケモン,竜,レジドラゴVSTAR,HR,280,レガシースター,りゅうむそう,,F,image/s12_117_098.jpg,,False,
s12_118_098,S12,118/098,ポケモン,無,ルギアVSTAR,HR,280,アッセンブルスター,ストームダイブ,,F,image/s12_118_098.jpg,,False,
s12_119_098,S12,119/098,トレーナーズ,サポート,さぎょういん,HR,,,,,F,image/s12_119_098.jpg,,False,
s12_120_098,S12,120/098,トレーナーズ,サポート,ジンダイ,HR,,,,,F,image/s12_120_098.jpg,,False,
s12_121_098,S12,121/098,トレーナーズ,サポート,スズナ,HR,,,,,F,image/s12_121_098.jpg,,False,
s12_122_098,S12,122/098,トレーナーズ,サポート,ワタル,HR,,,,,F,image/s12_122_098.jpg,,False,
s12_123_098,S12,123/098,ポケモン,無,ルギアVSTAR,UR,280,アッセンブルスター,ストームダイブ,,F,image/s12_123_098.jpg,,False,
s12_124_098,S12,124/098,トレーナーズ,ポケモンのどうぐ,葉隠れポンチョ,UR,,,,,F,image/s12_124_098.jpg,,False,
s12_125_098,S12,125/098,トレーナーズ,スタジアム,大口の沼,UR,,,,,F,image/s12_125_098.jpg,,False,
